,cluster,cluster_label,seasonal_ndvi_integral,percentile_in_cluster,acres,estimated_yield_bu_ac,estimated_total_bushels,confidence
3119200003,1,"Corn-like (early peak, fast decline)",84.31259382575129,56.00109859928592,78.84985266276969,245.4158640360315,19351.004720347402,0.5706186640985811
3119300004,1,"Corn-like (early peak, fast decline)",66.1348033106951,3.2957978577313924,69.19653013440356,225.91073078698074,15632.238690586442,0.6347863817788417
3119300007,1,"Corn-like (early peak, fast decline)",65.70811200374953,3.240867893435869,62.37858403778324,225.45288246975582,14063.431575700131,0.6416011808445006
3119400003,2,"Soybean-like (later peak, slower decline)",78.13661755247696,54.14478191367892,115.02269813308334,75.0057801753269,8627.367211343033,0.7316162065391864
3119400005,1,"Corn-like (early peak, fast decline)",72.66769953886453,6.564130733315024,64.59252106307147,232.9206592668542,15044.932589718774,0.6415508388420188
3120100003,1,"Corn-like (early peak, fast decline)",74.48079973177718,8.761329305135952,123.62887305914816,234.8661520827907,29036.23770173392,0.5523332727312065
3120100004,2,"Soybean-like (later peak, slower decline)",75.41997915604247,37.177437771180635,78.83177718873382,72.41734862792003,5708.788291635051,0.7341345798996106
3120226002,0,Non-row-crop (already green in April),87.71324914581956,25.177993527508093,107.0204209444917,,,1.0
3120300009,1,"Corn-like (early peak, fast decline)",82.71567774041806,43.97143641856633,80.40750821820181,243.70234109680638,19595.49799453648,0.570837912690261
3120300010,1,"Corn-like (early peak, fast decline)",87.24242817232762,78.35759406756385,77.26734566601645,248.55963496244215,19205.543233261888,0.579738169051863
3120400001,1,"Corn-like (early peak, fast decline)",84.18278855442047,54.7926393847844,151.7981341587351,245.2765803804277,37232.52725458394,0.5378386164189219
3121100010,1,"Corn-like (early peak, fast decline)",82.82511860634338,44.71299093655589,316.45753436632054,243.8197733375948,77158.6043001704,0.5427646263137691
3121326003,1,"Corn-like (early peak, fast decline)",92.26107246505646,95.7154627849492,145.8847528848527,253.94474079134832,37046.66575675382,0.5611315183977117
3121400005,1,"Corn-like (early peak, fast decline)",87.01980970961445,76.90195001373249,39.700088486618895,248.32076089381854,9858.35618054913,0.60817362441259
3121400006,2,"Soybean-like (later peak, slower decline)",86.00288450770003,92.92075816396438,39.661954177337016,82.50081285024865,3272.143458859619,0.7022400152611346
3121400007,2,"Soybean-like (later peak, slower decline)",82.25576483703172,79.12765471568851,40.090704656679314,78.93053173363168,3164.380636127682,0.6954616136929291
3121400009,2,"Soybean-like (later peak, slower decline)",89.26538709182205,97.39666590545787,28.4648845538349,85.60934750959875,2436.8601935898614,0.5969137525287659
3122100003,1,"Corn-like (early peak, fast decline)",88.30153369891408,84.78439989014007,78.71637580820189,249.69607640199803,19655.170187893167,0.6427925441600753
3122100007,2,"Soybean-like (later peak, slower decline)",83.52161580593159,84.88239324046586,77.42555390748674,80.1366431493123,6204.623984122109,0.7088462148425045
3122200002,1,"Corn-like (early peak, fast decline)",84.5615236437627,57.97857731392475,77.57185774096199,245.68297071579838,19058.084453742842,0.6531763920031092
3122200003,2,"Soybean-like (later peak, slower decline)",79.78884736732176,64.37542817994975,80.06439218696987,76.58003598424263,6131.334034734667,0.7390096107914204
3122300008,1,"Corn-like (early peak, fast decline)",82.47380691765562,42.103817632518535,33.41261342526427,243.44280886030432,8134.060463609848,0.6462986808987684
3122300016,2,"Soybean-like (later peak, slower decline)",80.52899476920577,69.21671614523865,58.94085070285986,77.28525346452348,4555.2585859851615,0.6620540220417342
3122300020,2,"Soybean-like (later peak, slower decline)",78.84168330379441,58.392327015300296,59.975873035386,75.67757162026174,4538.82842712315,0.5980532982501987
3122400004,1,"Corn-like (early peak, fast decline)",86.99183757431284,76.76462510299368,157.24664287583929,248.29074623247305,39042.88630219333,0.7564623377335609
3123100002,1,"Corn-like (early peak, fast decline)",80.72841409289802,30.18401538039,155.3109301157807,241.5699674062983,37518.45632591102,0.6404115050704228
3123200001,2,"Soybean-like (later peak, slower decline)",76.11068166365351,41.83603562457182,38.29480827870134,73.07545467652773,2798.4105267165583,0.6067151175809117
3123200002,2,"Soybean-like (later peak, slower decline)",74.38205613156714,31.262845398492807,117.5361248213749,71.42840850844813,8395.418338241116,0.5714573284785917
3123300005,1,"Corn-like (early peak, fast decline)",86.79698563441727,75.80335072782202,78.54840820096007,248.08166619888198,19486.4199837641,0.6805868744606914
3123300007,2,"Soybean-like (later peak, slower decline)",78.36210204911475,55.51495775291162,79.40811244576153,75.22062333785985,5973.127716253049,0.6219573798804577
3123400006,2,"Soybean-like (later peak, slower decline)",73.26198863766179,25.50810687371546,77.62129959322948,70.3612005796142,5461.527829929546,0.7403552877949563
3123400007,1,"Corn-like (early peak, fast decline)",85.5349516240634,66.35539686899203,77.55512308591317,246.72747843242064,19134.97995850337,0.5942519343284326
3124100001,0,Non-row-crop (already green in April),83.78250233433586,18.18770226537217,78.84803241113336,,,0.5449178290459585
3124100004,1,"Corn-like (early peak, fast decline)",88.80233132340807,86.78934358692668,73.2306599980978,250.23344228199713,18324.76013190656,0.635572218771539
3124100005,1,"Corn-like (early peak, fast decline)",79.09232923198927,21.69733589673167,133.4544416629807,239.81441558649118,32004.2989348292,0.7042136744153421
3124200003,1,"Corn-like (early peak, fast decline)",89.22496621617029,88.6294973908267,45.0284994817405,250.68693798557,11288.056657162353,0.6006859773730001
3124300004,1,"Corn-like (early peak, fast decline)",80.44016307579687,28.56358143367207,10.879604380088958,241.26066829246625,2624.820623497905,0.6965833993649047
3124300008,1,"Corn-like (early peak, fast decline)",84.47591274223393,57.40181268882175,25.388941878386497,245.59110850402368,6235.298379657169,0.7203853729303923
3124300012,1,"Corn-like (early peak, fast decline)",80.81660142086658,30.788244987640756,105.33285639497082,241.66459417523814,25455.22199400926,0.6905597982067029
3124400002,1,"Corn-like (early peak, fast decline)",83.33398796995529,48.420763526503706,79.09664308363669,244.36580035531122,19328.514492551272,0.525283565458035
3124400003,1,"Corn-like (early peak, fast decline)",83.45576581021933,49.546827794561935,40.1296640622908,244.49647041662388,9811.561222234937,0.5298070840426455
3124400004,2,"Soybean-like (later peak, slower decline)",75.9911875245229,40.87691253710893,40.22043431511256,72.96159984775778,2934.5472342022686,0.6606545321567978
3125100001,2,"Soybean-like (later peak, slower decline)",73.77261408014488,27.768897008449418,318.2428498493609,70.8477279753716,22546.78285623455,0.7612377113992728
3125300004,1,"Corn-like (early peak, fast decline)",90.24109353057855,91.98022521285361,77.53573145318185,251.7772629427818,19521.734245548683,0.598425893056119
3125300006,1,"Corn-like (early peak, fast decline)",85.53818683241468,66.41032683328756,79.04307195532927,246.73094987576948,19502.372224637187,0.7421212761352258
3125400002,1,"Corn-like (early peak, fast decline)",88.71034109624435,86.48722878330129,159.20396964904546,250.13473492606448,39822.4427473412,0.5637458262001556
3126100008,2,"Soybean-like (later peak, slower decline)",83.62511917670003,85.27060972824846,195.66985013827335,80.23526186518986,15699.621664966817,0.7524199437778768
3126200001,1,"Corn-like (early peak, fast decline)",70.11290854836598,4.6415819829717115,79.91436380548568,230.1793173720912,18394.633708971644,0.5783743122828139
3126200002,2,"Soybean-like (later peak, slower decline)",69.93294693274109,12.81114409682576,79.54576272190016,67.18926699325269,5344.621489703676,0.7620866536745047
3126300002,2,"Soybean-like (later peak, slower decline)",76.99809169706711,47.225393925553774,79.16334443415856,73.92098499406572,5851.8323959974905,0.7794214925157299
3126300007,2,"Soybean-like (later peak, slower decline)",93.77901268895289,99.24640328842202,52.95254410729911,89.90996068805137,4760.961159019569,0.7489420883709762
3126400009,1,"Corn-like (early peak, fast decline)",84.79984111301002,59.928591046415825,79.63707157202232,245.9386901328197,19585.83706843678,0.69217172517891
3126400010,2,"Soybean-like (later peak, slower decline)",87.60836213971507,95.98081753825073,26.78290509643526,84.03052286127478,2250.581518997356,0.7373558543777572
3126400011,2,"Soybean-like (later peak, slower decline)",84.08199669857709,87.0975108472254,39.34869559759083,80.67057787650728,3174.2820125444305,0.7955041231686526
3127100001,2,"Soybean-like (later peak, slower decline)",85.60866182057143,91.82461749257821,79.70812898893598,82.12519479176635,6546.045619703606,0.5060970127259443
3127100004,1,"Corn-like (early peak, fast decline)",81.80892961267607,37.51716561384235,76.37054563869074,242.72938219730287,18537.375360950326,0.5283175679437674
