,early_ndvi,peak_ndvi,peak_doy,green_up_rate,decline_rate,cluster,confidence
0425300001,0.10156417869488042,0.7311763242294228,195,0.03653786729922189,-0.04165870468599227,1,0.7129882455959912
0425300002,0.2911772456378385,0.8998602479186119,234,0.026153376729537398,-0.017412541154404854,0,1.0
0425400001,0.31585068121189025,0.7919444014386433,234,0.02513765456752526,-0.01805017812429118,0,1.0
0425400008,0.36438827514648436,0.8025027465820312,234,0.03063503532619266,-0.020619084729459197,0,1.0
0426100002,0.12422342300415039,0.7703874206542969,199,0.040538750843392264,-0.02703555337227464,2,0.5
0426100004,0.0968832144341745,0.7641366209409233,234,0.01622490188657573,-0.022809663324431607,2,1.0
0426200001,0.11550832814512274,0.7381331832320602,195,0.02668445604859123,-0.041849135361841,1,0.7129882455959912
0426200003,0.12266762073223407,0.719092098283179,195,0.030841831057662264,-0.03683817357985654,1,0.7129882455959912
0426200004,0.13718973351357805,0.6968477602358217,195,0.037275746392083024,-0.03490330383994675,1,0.7129882455959912
0426300001,0.1127689735749716,0.7378026904161618,195,0.0391170360814746,-0.037878729509242745,1,0.7129882455959912
0426300002,0.11271990298638337,0.7446839705757473,195,0.04130309948858371,-0.03768288558099764,1,0.7129882455959912
0426400005,0.3158177529611895,0.7495638939642137,234,0.022082789870429807,-0.025258585420468625,0,1.0
0426400006,0.2792482757568359,0.6759077962239584,234,0.02145413198375324,-0.021899090847895868,0,1.0
0426400010,0.25231626781637484,0.6235995049770652,234,0.0281159175312365,-0.020761293995901854,0,1.0
0427100002,0.09223758697509765,0.87524169921875,234,0.020875832821574264,-0.008189184985890389,2,1.0
0427100003,0.10246842831501753,0.7733728317987352,195,0.03992909008857333,-0.023947318488272203,1,0.7129882455959912
0427200002,0.10458520560755015,0.6715121925098745,234,0.017768362591612644,-0.02135248567464859,2,1.0
0427200005,0.1099736534928364,0.7209047783969182,199,0.034619134287706375,-0.02911883736063013,2,0.5
0427300001,0.10148010098363039,0.7196767886722731,234,0.02365474394298594,-0.012164215401700332,2,1.0
0427300002,0.10902507019042969,0.7352984619140625,234,0.031676745139573165,-0.01219568037781607,2,1.0
0427300003,0.10334418986538882,0.8219949386068781,234,0.02133714972105015,-0.01489352929991769,2,1.0
0427300004,0.16386826445416705,0.6874606434891863,234,0.010682629562836493,-0.01215604794791958,2,1.0
0427300005,0.11045445087371562,0.7535602583726051,234,0.018385735933897588,-0.018316924351163655,2,1.0
0427400001,0.1400628871264116,0.6917854665595794,234,0.012882212409973795,-0.0106287683769412,2,1.0
0427400002,0.27159578928335665,0.7905901422705033,234,0.03240317514335358,-0.017142165874435282,0,1.0
0428100004,0.0940675058200126,0.6775413089328342,211,0.027131579772350624,-0.016032732689514176,2,1.0
0428200002,0.09685188842470534,0.771718423833292,195,0.03240513111770407,-0.030184487627834322,1,0.7129882455959912
0428200003,0.09199774987918814,0.6820620501482928,195,0.038866721520937356,-0.026272636210922864,1,0.7129882455959912
0428200004,0.0966260977391022,0.8047537397044574,234,0.026981037040337358,-0.019701691280520926,2,1.0
0428300004,0.09582110246022542,0.8193314870198568,234,0.02046621311968295,-0.011059961894451444,2,1.0
